"R0000100","R0070500","R0337800","R0545600","R0839900","R1087300","R1463000","R1809800","R2171500","R2376300","R2770900","R3012700","R3340100","R3604400","R3954600","R4582900","R5267100","R5912600","R6578200","R7192900","R7879600","T0121900"
986,-4,-4,30,-4,-4,-4,-4,-4,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
987,37,-4,-4,35,-4,-4,-5,-5,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5
988,-4,-5,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,37,38,38,38,38,38,-4
989,-4,-4,-4,36,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
990,45,-4,50,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,40,40,44,-4,-4,-4
991,35,24,16,38,-4,-4,-5,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
992,40,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,15,15,10,15,-4,-4,-4
993,-4,-4,13,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
994,-4,40,24,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5
995,40,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,38,40,55,50,50,42
996,20,-4,-4,50,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,15,20,49,51,40,42
997,-4,-4,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
998,40,-4,-4,39,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,-4,-4,-4,-5,-5,-5
999,-3,12,10,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,12,35,12,55,50,52
1000,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,65,40,40,-5,40,50,6
1001,35,-4,24,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,37,40,40,40,35,39,40
1002,-4,-4,-4,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,35,40,45,35,25,-4
1003,9,-4,-4,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,60,60,60,60,-4,-4,-4
1004,40,-4,-4,38,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
1005,-4,40,50,40,-4,-4,-4,-4,-4,40,-5,-4,-4,-4,40,40,16,40,30,32,-5
1006,16,-4,-4,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,40,40,-5,-5,-5,-5,-5
1007,-4,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,45,40,45,40,44
1008,-4,-4,-4,40,-4,-4,-4,-4,-4,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5
1009,30,30,2,37,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,32,-4,-4,-4
1010,15,-4,-4,22,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,50,55,60,60,-5,-5
1011,15,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,48,50,45,40,40,40
1012,-4,-4,-4,40,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,35,55,-5,-5,-5,-5,-5
1013,-4,-4,25,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,-4,40,30,6,40,40
1014,-4,-4,12,40,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,45,40,40,45,50,50,45
1015,-4,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,10,20,6,-4,-4,-4,-4
1016,10,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,30,-5,-5,-5,-5,-5
1017,20,30,40,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40
1018,-4,-4,-4,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,-5,-5,16,30,32,30
1019,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,40,30,35,-4,-4,-4
1020,-4,-4,20,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,-4,60,30
1021,6,6,-4,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
1022,-4,-4,-4,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,49,40,40,40,40,40,40
1023,-4,40,-4,48,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,55,50,50,-4,-4,-4
1024,-4,17,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,20,40,24,21,26,30
1025,-4,-5,-5,-5,-4,-4,-4,-5,-4,40,-4,-4,-4,-4,38,40,-5,40,40,67,38
1026,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1027,-4,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
1028,-4,-4,63,20,-4,-4,-4,-4,-4,28,-4,-4,-4,-4,18,40,17,40,45,40,27
1029,-4,20,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,44,40,40,25,13
1030,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,-4,-4,37,40,40
1031,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
1032,-4,25,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1033,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
1034,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
1035,-4,-4,30,47,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,38,40,40,40,24,40
1036,-4,28,40,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,35,40,52,42,43,39
1037,-4,-4,-4,50,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,40,49,45,45,50,-4,-4
1038,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
1039,-3,-4,-4,37,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
1040,-4,24,35,42,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,-4,-5,-5
1041,40,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,40,-5,-5,-5,40,-5,-5
1042,30,-4,-4,30,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-5,60,-4,-4,50,40,55
1043,-4,-4,32,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,50,24,50,47,-4,40
1044,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,48,40,48,50,48,40
1045,44,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,63,58,48,48,55,48,40
1046,20,-4,-4,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,50,45,45,40,40,40
1047,40,40,40,-4,-4,-4,-5,-5,-5,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,35
1048,-4,-4,-4,45,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,31,32,30,27
1049,-4,-4,-4,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,40,50,35,37,40,35
1050,8,30,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,45,45,40,40,-4,-4
1051,-4,40,40,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,42,9,45,45,50,42,42
1052,15,-4,-4,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,50,50,45,40,40,40
1053,-4,-4,-4,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,45,40,45,45,40,50
1054,35,-4,-4,48,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,40,40,40
1055,10,-4,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,50,50,70,14,24,40
1056,36,20,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,48,40,40,40,40
1057,-4,45,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,36,42,24,40,23
1058,-4,-4,3,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,60,40,40,45,40
1059,48,40,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,48,40,48,48,40,40,40
1060,40,-4,40,45,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,-5,-5,48,40,40,40
1061,-3,-4,-4,40,-4,32,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
1062,55,-4,-4,45,-4,-4,-4,-5,-5,-4,-4,-4,-4,-4,55,50,48,50,-4,-4,-4
1063,-4,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,41
1064,40,-4,-4,42,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,50,47,45,60,48,40
1065,38,-4,-4,37,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,15,20,24,24,24
1066,48,48,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5
1067,-4,30,-4,-4,-4,-5,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-5,50,-4,-4
1068,48,48,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,40,40,40,40,40,40
1069,-4,-4,-4,20,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,20,35,40,-4,-4,-4
1070,36,25,-4,20,-4,-4,-4,-4,-4,28,-4,-4,-4,-4,40,45,30,40,40,40,40
1071,-4,-4,8,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,25,12,8,20,24,25
1072,-4,-4,27,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,0,40,40,50,40
1073,-4,-4,-4,48,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,60,65,-5,20,40,40
1074,-4,-4,-4,37,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,35,30,-5,30,-5,-5
1075,42,42,40,42,-4,-4,-5,-5,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5
1076,-4,-4,-4,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,8,40,47,40,40
1077,-4,40,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,23,40,40,40,40,40,-5
1078,-4,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,50,55,50,50,50
1079,-4,-4,-4,38,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,39,39,-1,39
1080,-4,-4,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,50,40,84,50,-4,-4
1081,15,-4,-4,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,42,55,-5,49,45,45,47
1082,9,40,25,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,40,40,40,40,40,42
1083,40,-4,-4,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5
1084,48,-4,-4,43,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,-5,-5,-5,-5,-5
1085,47,-4,-4,46,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,60,59,45,45,50,45,45
1086,-4,30,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,50,50,-5,-5,-4,45
1087,-4,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,40,30,7,8,12,8
1088,-4,40,34,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,3,3,-4,-4
1089,-4,-4,-4,60,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,55,60,50,-5,50,40
1090,-3,10,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,38,48,-5,-5,-4,-4
1091,-4,-4,-4,50,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,40,40,40,84,-5,40,40
1092,-4,-4,30,45,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,40,40,40,50,-5,40
1093,-4,-4,20,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,16,24,28,40,32
1094,40,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,45,45,50,-5,-5,-5
1095,-4,-4,23,45,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1096,60,-4,-4,60,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,60,60,67,50,60,45,70
1097,18,-4,-4,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,50,45,45,50,50,50
1098,18,-4,-4,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,44,45,40,-5,-5,40,40
1099,23,19,40,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,60,54,50,50,45,-5,-5
1100,-4,18,-4,20,-4,-4,-5,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
1101,-4,-4,-4,30,-4,-4,-5,-5,-4,-4,-4,-4,-4,-4,21,40,40,40,40,-5,40
1102,-4,-4,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,60,-5,50,50,-5,50
1103,15,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,15,20,20,-4,-4,-5
1104,20,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,40,35,40,8,-4,-4
1105,15,-4,-4,41,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,16,16,3,24,2,32,40
1106,30,-4,8,10,-4,-4,-4,-4,-4,6,-4,-5,-4,-4,18,2,70,45,7,15,-4
1107,40,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,50,40,45,45,45,45
1108,38,-4,30,25,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,15,30,-5,-5,-5,20
1109,-4,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,-4,-4,-4,-4,-4
1110,-4,60,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,40,40,-4
1111,-4,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,-5,45,40,40,40
1112,-4,-4,-4,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,-4,-4,40,40,40,40
1113,60,-4,-5,-5,-5,-4,-5,-5,-5,-5,-4,-4,-4,-4,47,50,40,46,45,49,-5
1114,40,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,50,40,50,50,44
1115,40,-4,-4,48,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1116,-4,20,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,35,-4,35,21,5,10,10,15,40
1117,-4,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,32,32,40,40,40
1118,-4,-4,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,84,40,-5,45,-4,-4,-4
1119,-4,-4,-4,27,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5
1120,-4,-4,-4,20,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,40,50,50,40,-5,-5,-5
1121,42,35,35,-4,-4,-4,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,40
1122,40,-4,-4,44,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,55,40,40,40,55,40,-4
1123,40,-4,-4,38,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,-5,40,-5
1124,-4,-4,-4,40,-4,-4,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5
1125,-4,-4,-4,40,-4,-4,-4,-4,-5,-5,-5,-4,-4,-4,55,55,50,50,55,53,55
1126,40,40,-4,20,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1127,-4,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,37,40,40,40,40
1128,-3,-5,40,-4,-4,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1129,25,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,29,32,30,15,28,-1
1130,40,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,35
1131,45,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,38,37,37,40,40,40,40
1132,26,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,38,38,40,40,40,38,40
1133,-3,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-5,-5,-5,-5,-5
1134,4,-4,27,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
1135,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,37,-5,35,-5,-5,-5
1136,-4,-4,-4,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,50,36,50,50,-5,50
1137,-3,-4,46,40,-4,-4,-5,-5,-5,65,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1138,-4,-4,45,60,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,48,50,40,60,98,90,91
1139,20,-4,27,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,55,80,60,50,-4,-4,-4
1140,10,35,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,40,35,33,-4,-4,-4
1141,25,-4,-4,40,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,25,40,40,40
1142,-4,-4,-4,42,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,65,50,45,-4,-4,-4
1143,-4,-4,40,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,55,45,10,45,45,45,45
1144,10,-5,-4,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,45,40,40,50,40,35
1145,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1146,35,-4,-4,10,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5
1147,25,-4,-4,40,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,18,45,40,40,-4,-4,40
1148,-3,40,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,50,40,40,40,40,40
1149,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,30,40,-5,-5,-5,-5,-5
1150,-4,-4,24,-5,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
1151,40,-4,-4,47,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,40,40,40,45,-5,24,40
1152,-4,40,-4,40,-4,-4,-4,-4,-5,-5,-5,-5,-4,-5,-4,-4,-4,-4,-5,-4,-4
1153,-4,-4,40,48,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,20,70,34,35,40,40,40
1154,15,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,45,40,43,-5,-5,-5
1155,15,-4,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
1156,40,-4,-4,37,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,9,40,40,40,40,40
1157,-4,40,40,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
1158,30,-4,-4,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,37
1159,-4,-4,-4,32,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,-4
1160,-4,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,60,50,60,-4,-4,-4
1161,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4
1162,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1163,-4,36,48,31,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,43,48,37,40,40,40
1164,40,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4
1165,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,55,-4,30,40,40,40,40
1166,-4,-4,-4,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
1167,-4,-4,20,5,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-5,-5,-5,-5,-5,-5,-5
1168,-4,-4,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,40,-5,-5,-5,-5
1169,-3,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,70,50,40,60,30,-4,-4
1170,35,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
1171,5,16,-4,40,-4,-4,-4,-4,40,-4,-4,-4,-4,-4,65,60,4,60,-4,40,61
1172,43,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,10,25,6,10,12,40,40
1173,15,-4,25,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1174,-4,25,20,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,42,40,40,40,40,31
1175,20,-4,-4,40,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,40,50,50,50,60,40,45
1176,-4,-4,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,45,47,40,35,40,70
1177,20,-4,-4,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,19,20,25,28,40,30,40
1178,-4,-4,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,45,45,40,50,50,50
1179,-4,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,33,15,40,40,40
1180,40,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,60,50,-4,-4,-4
1181,50,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,-5,40
1182,4,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,35,5,40,40,40,40
1183,-4,40,40,40,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1184,37,-4,-4,42,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,45,45,55,45,40,40
1185,-4,35,38,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,60,60,65,70,70,-5,65
1186,15,-4,-3,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,60,6,50,50,55
1187,-4,-4,35,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,15,15,40,40,40,40
1188,18,-4,-4,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,50,55,50,50,50,40
1189,20,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,38,40,40,38,40,-5,-5
1190,-4,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,48,40,40,48,63,-4,-4
1191,8,-4,18,45,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,37,37,37,38,37,37,-5
1192,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,-4,-4,-4,-4,25,30,-4,-4,40
1193,-4,-4,-4,-4,-4,-4,16,-4,-4,40,-4,-4,-4,-4,40,36,32,40,40,40,40
1194,-4,-5,40,40,-4,-4,-4,-4,-5,-5,-4,-4,-4,-4,40,40,40,40,40,55,40
1195,-4,-4,-4,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,65,30,-5,45,50,55,55
1196,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1197,-4,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,65,66,-5,68,42,50,40
1198,8,-4,-4,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,48,55,55,42,49,45,45
1199,40,48,40,30,-4,-4,-4,-4,-4,30,-4,-4,-4,-4,40,40,40,50,24,38,60
1200,23,40,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,20,45,-5,40,46,40
1201,-4,-4,40,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,4,40
1202,35,-4,-4,38,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,37,37,-5,37,37,37
1203,-4,-4,20,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,56,40,40,37
1204,35,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,60,45,40,40
1205,-4,40,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,35,-4,-4,-4
1206,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,-4,-4,-4,-4,42,40,40,40,40,15,28
1207,-4,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,25,38,42,35,40,45
1208,-4,40,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,48,50,55,50,40,45
1209,40,-4,-4,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,-4,-4,-4
1210,-4,-4,20,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,30,40,35,30
1211,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,45,45,-4,40,40,40
1212,30,-4,-4,37,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,37,15,37,37,40,37
1213,-4,40,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,38,30,36,-4,-4
1214,-3,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,-5,-5,-5,-5,-5
1215,5,25,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,35,40,35,35,35
1216,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,40,40,40
1217,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,50,-5,-5,-5,-5,-5
1218,-4,-4,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,65,40,50,-5,63,57,55
