"R0000100","R0047010","R0263710","R0446810","R0702510","R0945610","R1256010","R1650810","R1923410","R2318210","R2526010","R2925010","R3127800","R3523500","R3728500","R4416800","R5079800","R5165200","R6478000","R7005700","R7702900","R8495200","T0986800"
2446,-4,375,570,600,469,291,350,363,256,500,700,888,1000,-4,-4,-5,-5,-5,-5,-5,-5,-5
2447,290,300,-4,-4,-4,-4,-4,300,356,480,480,500,530,550,581,625,1052,1279,1396,1500,1750,1791
2448,-4,-4,-4,77,-4,375,-4,-4,400,400,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2449,-4,-4,-4,-4,525,525,600,900,945,4945,450,800,-5,-5,800,1000,1200,1200,-4,162,697,755
2450,-4,276,-4,-4,350,385,261,485,450,500,400,600,450,290,232,504,568,581,1000,14,443,709
2451,400,520,513,513,656,658,823,1395,1161,1081,1162,929,1017,933,-4,1077,1000,1000,1282,900,925,975
2452,232,273,390,393,393,360,359,477,528,625,662,653,653,663,67,721,866,690,1000,1200,1057,1200
2453,-4,-4,-4,300,550,607,750,642,914,989,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2454,-4,-4,-4,285,345,469,641,683,673,703,742,763,778,769,800,803,1035,1009,650,600,1051,1255
2455,-4,400,208,234,222,192,240,200,240,240,533,1000,145,146,700,833,480,673,961,-5,-5,-5
2456,-4,-4,-4,21,107,192,274,120,120,144,-4,135,66,132,116,132,384,144,192,-5,-5,-5
2457,380,385,448,509,524,-4,636,656,320,600,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2458,-4,-4,-4,-4,800,500,-4,-4,86,500,500,-5,-4,-4,500,641,625,900,930,1050,-4,-5
2459,290,310,-4,335,-4,335,-4,-4,345,365,400,450,-4,-4,495,535,625,680,615,-4,740,800
2460,400,700,400,200,127,450,500,500,400,400,480,500,440,495,630,670,800,880,960,1020,213,542
2461,-4,250,162,335,335,335,400,525,500,850,915,1068,1110,1408,1285,2000,2598,3170,2670,1116,2400,2400
2462,-4,353,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,650,800,800,800,753
2463,-4,600,1250,1250,576,307,1090,2000,1223,422,1800,1700,1700,400,1200,1000,1200,1300,1350,961,1153,1200
2464,-4,-4,-4,-4,-4,800,800,1428,615,-4,564,-5,625,-4,-4,-4,384,12017,81,-4,-4,50
2465,-4,100,-4,335,335,500,800,400,500,783,872,528,1419,1745,1836,1875,1744,800,615,3205,961,1153
2466,-4,-4,-4,575,500,651,697,813,581,697,697,725,725,812,888,1125,1153,1200,1000,800,1166,705
2467,-4,-4,-4,618,500,-4,100,525,-5,1230,1538,-5,1442,-5,-5,-5,-5,-5,4807,-5,-5,-5
2468,290,335,530,400,-4,600,800,900,3333,1785,3255,3000,3875,-4,4700,3846,8012,10683,-4,7692,16025,2000
2469,290,312,350,530,591,662,-5,-5,-5,-5,941,1018,-5,435,1000,1298,1410,1000,1418,1600,2307,-5
2470,206,403,500,550,815,855,975,1000,1538,1650,1846,2403,1785,1615,2000,1838,1923,-4,58,769,1121,1538
2471,83,100,285,320,250,562,567,584,607,620,640,649,655,673,673,692,767,798,982,1030,1225,-4
2472,-4,-5,900,-5,1050,1144,1201,1250,1346,1431,1450,1565,1307,1730,1678,2051,2403,-5,2269,-5,3076,3125
2473,150,125,335,395,475,572,625,721,769,1153,1250,1336,1345,958,650,1050,1150,1425,1625,1725,1869,1947
2474,622,669,591,900,900,1071,1135,1108,1250,1081,1408,1503,1690,2163,1878,1886,2307,1991,-5,1550,2150,2625
2475,-4,-4,-4,-4,560,812,562,475,675,725,850,1000,1075,1442,1250,1320,1682,1570,1655,1780,1941,1999
2476,-4,-4,-4,-4,500,200,500,475,550,580,650,775,775,961,850,1777,721,265,1064,1376,-5,-5
2477,-4,-4,-4,386,335,335,335,390,600,775,830,1000,1050,1150,1285,1185,1350,1600,1700,1750,1538,1750
2478,350,437,550,687,405,394,-4,552,736,736,-4,600,800,900,833,961,1217,748,700,1000,1060,979
2479,290,250,550,675,700,700,700,700,572,620,638,786,845,555,725,750,625,1105,1200,1350,320,1600
2480,-4,-4,335,350,-4,-4,354,-4,-4,1000,1000,1021,1067,1168,1100,1255,1269,1608,1731,1900,2000,1900
2481,-4,310,310,494,350,-4,425,1000,900,333,500,669,728,445,625,1250,650,800,1200,1200,1300,1298
2482,-4,-4,255,365,400,252,355,335,365,-4,214,425,445,450,500,445,500,650,750,725,1080,1468
2483,325,287,312,257,335,345,345,355,356,395,509,585,615,461,665,690,720,1134,1302,1475,1465,1535
2484,-4,310,-4,-4,-4,365,400,416,444,575,1000,406,-4,625,650,425,720,600,600,-4,-4,-4
2485,-4,310,-4,450,-4,-4,120,-4,-4,-4,-4,570,550,550,550,700,650,725,950,800,925,1000
2486,-4,-4,145,135,-4,175,325,250,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2487,-4,-4,-4,402,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2488,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,425,509,600,692,700,1000,1011,1111,1136
2489,355,-4,480,355,-4,487,600,558,581,700,800,820,860,900,949,995,1085,1150,1276,1298,1442,1505
2490,-4,-4,-4,-4,250,375,619,680,817,820,807,166,1201,1045,1153,1538,1634,1730,1730,-4,-4,-4
2491,321,-5,-4,-4,-4,-4,-4,1000,-4,-4,-4,-4,1068,1522,1965,1480,1602,1581,1550,1709,2019,2417
2492,-4,-4,117,265,325,263,228,450,500,476,555,1098,1000,1071,1875,1875,1666,1666,3750,1282,1048,1057
2493,277,325,330,500,-4,200,1333,650,745,930,700,1201,930,850,830,965,700,1150,1250,1350,1200,1750
2494,260,315,365,462,445,778,870,940,1155,1300,1269,1495,1875,1709,1538,1615,1965,2136,2348,2750,2930,3076
2495,-4,700,700,700,700,700,600,700,500,550,600,600,600,595,630,675,700,780,-5,-5,-5,-5
2496,83,310,612,350,375,383,375,755,735,775,757,757,875,865,1250,989,540,-4,436,-4,-4,-4
2497,250,-4,566,350,200,450,700,846,1450,854,1155,1205,1201,1355,1423,1442,1602,1923,2029,-5,-5,-5
2498,-4,200,158,310,350,512,214,534,591,457,312,137,769,659,469,232,96,197,121,667,654,809
2499,-4,-5,-5,-5,-4,-4,666,-4,-4,444,375,400,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5
2500,-4,-4,140,190,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2501,-4,315,400,400,355,355,425,350,-4,-4,270,-4,385,-4,425,200,200,886,1024,1098,1103,700
2502,-4,-4,-4,400,350,400,470,735,900,1048,1570,1586,1875,2067,2067,2163,2403,2644,3028,3605,3846,4134
2503,-4,-4,-4,347,600,335,335,375,400,-4,550,850,961,369,846,900,-5,-4,-5,-4,-4,-5
2504,-4,300,-4,335,428,562,550,650,375,-4,571,600,650,700,700,-5,685,800,800,800,900,1100
2505,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,450,400,550,500,600,875,875,1070,1069,1153,1104,2082
2506,252,290,-4,498,720,-4,400,400,-4,600,1116,1284,1340,1386,1433,1467,1570,1725,1847,2102,2206,-4
2507,-4,-4,482,406,636,633,650,705,697,755,697,889,1000,940,950,1000,1100,1150,1439,1441,1634,1795
2508,-4,581,774,850,957,1120,1105,1201,1196,1177,1200,1292,1734,1654,1676,1741,1971,2261,2735,3027,6199,3000
2509,300,336,-4,511,657,742,894,867,1298,1228,1313,1211,1250,1593,1720,1860,1837,2045,2337,3000,3365,8894
2510,-4,-4,-4,-4,89,150,335,581,831,885,865,985,701,750,750,800,800,-4,-4,800,1000,1300
2511,-4,50,160,664,-4,335,375,550,580,345,355,333,490,490,525,560,-5,-5,-5,740,-5,-5
2512,150,300,294,416,350,300,465,533,450,600,600,-4,48,221,-4,-4,-4,46,2713,961,2136,-4
2513,250,-4,-4,350,-4,-4,650,1175,645,1000,800,800,800,800,1000,1000,581,1046,1000,769,961,1282
2514,-4,500,166,283,400,-4,500,565,550,600,630,720,720,565,605,800,866,900,970,1150,1500,1600
2515,240,290,100,209,266,232,400,674,500,530,-4,-4,700,700,-4,-4,575,225,790,1076,11,-5
2516,400,-4,300,335,335,600,700,937,867,963,1045,1201,1122,1138,1250,1238,1298,1484,1575,1730,1826,1986
2517,400,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,769,915,1137,1130,1273,1428,1116,1365,1801,2028,2508
2518,750,410,-4,335,345,325,619,735,816,933,1000,1056,550,640,720,724,600,558,714,726,726,748
2519,320,-4,368,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2520,-4,-4,-4,375,375,755,769,575,1283,1419,1396,1452,1634,1623,1965,1752,2403,2457,3632,2902,3990,-5
2521,-4,-4,310,428,595,620,630,365,400,-4,350,418,475,-4,-4,550,1050,817,993,1021,1113,1198
2522,422,500,625,650,722,845,777,1177,1153,975,975,1200,1400,1269,1167,1800,2500,1282,5454,2163,1538,2045
2523,75,-4,-4,-4,-4,-4,-4,-4,1079,-4,450,500,500,550,545,520,600,1435,1587,1962,2203,2579
2524,290,225,-4,-5,-4,-4,416,431,777,934,1289,1235,1288,1850,1829,1969,2312,2307,2644,2562,1009,1153
2525,460,451,-4,300,547,540,557,647,697,725,327,565,565,656,695,312,562,697,872,615,721,769
2526,360,300,444,544,451,521,500,517,653,600,734,500,650,526,600,1000,384,1100,2125,1570,2991,3418
2527,-4,576,400,800,182,400,406,502,500,750,769,750,800,930,1000,-4,700,2500,3000,3692,2003,7211
2528,-4,-4,-4,-4,-4,-4,-4,155,-4,-4,-4,335,-4,600,221,357,625,714,277,192,470,650
2529,-4,-4,-4,406,450,325,350,125,200,335,-4,380,375,425,425,475,-4,550,565,700,700,-4
2530,-4,-4,-4,200,355,265,350,250,335,312,335,-4,-4,-4,500,-4,550,515,515,600,76,1050
2531,-4,-4,-4,-4,-4,-4,-5,-5,-5,460,460,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5
2532,-4,-4,325,217,377,846,730,737,750,977,961,1346,96,1009,461,1346,769,1923,-5,-5,-5,-5
2533,-4,-4,-4,-4,138,-4,-4,375,500,817,512,-4,-4,-4,801,596,769,769,-4,-5,10,-5
2534,408,3,365,673,337,149,-5,-5,-5,-5,1571,1105,1214,1615,1808,-4,3906,3205,-5,-5,-5,-5
2535,300,350,590,595,595,624,640,640,660,1155,1098,1123,1135,1132,1167,1192,1232,1302,1342,1432,1500,1548
2536,-4,-4,-4,500,379,455,216,325,290,871,937,937,-4,440,425,450,-4,-4,1586,1875,1889,2000
2537,400,440,450,450,375,400,450,450,500,550,594,598,705,-4,793,-4,600,1571,1500,1466,1550,1666
2538,-4,310,-4,365,380,335,125,75,-4,-4,-4,-4,-4,-4,100,100,150,515,517,194,638,765
2539,325,375,588,509,677,641,590,440,336,395,600,850,887,910,875,875,1025,1112,1627,1511,1650,1737
2540,300,300,300,400,342,440,475,515,515,540,600,600,800,825,850,850,920,940,1093,1127,1270,1100
2541,-4,-4,-4,400,475,500,568,611,1040,1300,1724,1843,1961,1990,1990,2078,2115,2138,1453,2519,1937,3488
2542,-4,-4,201,373,800,380,506,697,697,785,721,826,921,885,-4,-4,-4,850,1000,930,1037,7
2543,318,725,666,833,-4,375,800,800,750,1250,1125,1153,1009,1219,1250,961,1714,1442,1923,1373,1602,-4
2544,186,218,400,600,701,809,868,750,762,1150,1250,1875,2163,2307,2136,2403,2692,2500,3119,3632,3846,4152
2545,-4,-4,621,700,695,812,1027,1114,1217,1758,1400,1883,1883,2042,2134,2273,2572,2487,2905,3355,3807,4401
2546,-4,-4,-4,-4,335,508,508,537,325,525,600,420,625,650,812,750,750,731,-5,-5,850,900
2547,-4,-4,-4,350,884,1013,1127,1127,-4,-5,-4,1206,1432,889,1231,1453,1545,1665,1800,1856,1893,1997
2548,300,333,432,-4,1071,-5,724,777,615,1072,1142,1170,1273,1250,1300,1410,1572,1658,1770,1375,2050,-5
2549,265,-4,-4,400,510,500,473,634,769,773,612,765,584,940,982,887,1096,1239,1017,1051,600,1162
2550,249,302,-4,700,385,426,550,600,700,1177,800,1700,944,950,863,1045,1305,1125,1330,1566,1566,1566
2551,-4,247,263,335,349,400,349,739,718,905,935,1028,1052,1235,1318,1359,1420,1676,1730,1898,3877,2034
2552,20,-4,-4,335,-4,-4,530,550,607,750,637,745,835,650,650,689,200,735,750,1046,14,15
2553,224,432,500,525,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,711,759,913,-5,-5,-5,1806,2062
2554,100,-4,-4,-4,300,400,66,360,500,500,-4,-4,186,600,-4,-4,-4,-5,-5,-5,-5,-5
2555,-4,-4,500,1162,1923,714,-5,480,833,1201,-5,380,801,1183,-5,2307,480,1923,2142,576,-4,-5
2556,215,320,325,335,335,335,335,335,-4,800,800,-4,-4,-4,-4,-4,725,820,900,800,900,1000
2557,-4,275,-4,335,312,335,335,681,1250,1365,1603,1737,1971,2163,2283,2132,2452,2625,3205,3547,4006,3692
2558,-4,-4,375,375,371,428,800,1000,1100,1100,1200,1400,1400,2362,2362,-4,576,2029,-4,17307,3296,3340
2559,200,200,200,125,215,-4,-4,335,-4,-4,-4,-4,-4,840,800,850,812,950,925,1600,240,3953
2560,75,-4,-4,116,256,-4,335,-4,-5,600,-5,-5,500,525,-5,-5,-5,-5,-5,-5,-5,-5
2561,350,350,50,-4,625,285,-5,-5,-5,-4,-4,-4,-5,-4,1479,699,-5,-5,-5,-5,-5,-5
2562,290,310,357,360,400,410,473,460,500,601,879,1007,752,575,618,777,-5,-5,-5,-5,-5,-5
2563,-4,-4,340,220,355,460,550,-4,-4,1153,-5,1230,1410,659,3500,-4,-4,600,-5,-5,-5,-5
2564,290,310,-4,1093,1415,-4,-4,-4,-4,-4,-4,-4,-4,-4,625,725,1000,1100,1000,1282,3,1200
2565,290,-4,500,488,-4,-5,-4,-5,-5,-4,-4,-5,850,-5,-5,-5,-5,-5,1153,1346,15,20
2566,325,250,335,274,465,465,520,569,425,745,769,800,850,739,1000,1000,1000,1000,2067,1379,1682,1923
2567,-4,310,-4,335,-4,400,854,846,923,1057,1335,1923,1398,1495,1602,1682,1068,1153,1500,1682,1923,-4
2568,400,450,500,500,525,525,550,550,600,1200,805,1200,1300,1182,857,711,1500,1025,961,207,1031,1057
2569,-4,222,-4,556,714,758,348,824,872,825,527,500,882,151,938,1419,1046,1514,1634,-4,1354,4615
2570,150,310,600,375,365,-4,-4,875,875,1010,1135,1135,1311,1842,1485,1500,785,1700,875,1600,1000,1120
2571,-4,233,375,-4,375,288,422,1104,450,673,735,900,1009,1300,1298,1265,1125,1081,-5,-5,-5,-5
2572,-4,250,-4,400,144,662,812,962,1201,1300,1495,1600,1923,1762,1730,1865,2115,2050,2100,2400,2500,2600
2573,475,510,545,523,500,565,738,773,817,686,941,982,913,-4,444,1125,861,926,839,928,1730,14
2574,-4,-4,425,400,440,350,390,410,450,1337,1100,1125,1145,1127,1132,1177,1442,1277,1352,1443,913,1538
2575,-4,400,52,25,48,63,125,66,93,58,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2576,-4,-4,-4,-4,-4,174,82,160,525,370,360,410,600,576,580,500,700,697,750,995,700,775
2577,-4,322,376,406,-4,-4,-4,475,525,575,593,697,88,813,769,1453,1239,1730,1788,1875,1840,2403
2578,-4,445,565,600,525,600,600,673,437,406,600,600,504,576,625,700,866,968,1000,997,1057,1090
2579,290,-4,255,450,400,400,400,450,333,333,403,384,750,761,961,900,1000,1200,999,1286,1300,1490
2580,-4,310,335,355,456,488,401,584,454,528,-4,697,627,-4,801,813,-5,1860,1056,1043,1129,-4
2581,-4,-4,505,715,585,805,805,850,850,650,690,690,770,770,770,780,800,709,825,1000,1050,1150
2582,-4,300,-4,756,900,865,860,865,865,835,890,1035,1065,1035,937,818,641,1000,-5,1860,2067,1250
2583,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2584,-4,-4,-4,-4,400,820,835,835,875,865,450,550,835,900,1560,290,927,1000,1100,1200,2100,2500
2585,-4,-4,-4,488,488,537,763,-5,-5,-5,925,925,996,996,966,966,952,1162,1445,1400,2750,2625
2586,400,285,530,750,-5,835,-5,-5,-5,875,865,900,1100,1080,1112,1112,-5,1200,-5,-5,1500,-5
2587,360,-4,-4,-4,400,-4,400,588,-4,500,605,-4,-4,-4,-4,-4,600,-5,900,1000,1200,1285
2588,-4,-4,-4,390,335,882,977,860,1057,1105,1265,1876,1485,1785,1785,2350,1874,2235,2170,2350,2735,5365
2589,-4,-4,-4,-4,-4,-4,925,937,1046,523,1850,1923,1976,2336,2180,2644,3557,3605,2830,3846,4639,4370
2590,-4,343,406,447,491,456,535,581,581,345,350,1105,1105,1394,1442,1923,2307,2403,2820,1923,1282,2492
2591,-4,310,335,335,335,335,335,335,335,335,335,380,425,425,500,500,683,565,600,893,1157,1463
2592,-4,250,-4,930,-4,-4,-4,335,275,483,504,600,552,668,708,801,883,990,834,642,875,901
2593,-4,-4,-4,-4,-4,335,-4,-4,687,232,335,800,3111,1500,-4,1538,756,563,793,1923,2403,2692
2594,-4,630,695,87,835,1060,1060,1100,835,12962,835,1030,1035,1035,1035,1035,1110,1730,1373,1401,1634,1802
2595,-4,436,430,645,1250,-4,635,638,500,830,815,815,525,288,-4,500,1110,440,675,961,815,900
2596,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2597,-4,-4,-4,335,500,-4,-4,-4,-4,668,1045,1083,1452,775,800,850,1522,1610,2142,1923,-5,1334
2598,-4,-4,-4,-4,-4,350,286,350,244,379,406,575,415,736,768,843,910,1003,1128,650,650,800
2599,290,310,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,435,-4,-4,-4,-4,-4,-4,-4,-4
2600,-4,-4,-4,335,335,350,-5,-5,-5,-5,345,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2601,325,310,290,335,-4,700,600,500,363,475,475,475,1712,1367,1300,1391,775,975,1113,1538,1538,1365
2602,-4,-4,335,400,1200,700,566,700,4000,4285,66666,-4,1000,1384,1162,750,1196,1250,4134,160,1565,1581
2603,-4,-4,-4,368,335,335,485,863,769,824,596,-4,1190,1089,817,897,1442,1216,1538,1576,1615,1314
2604,-4,-4,-4,-4,454,1500,929,1000,550,500,777,833,750,1076,939,1089,1433,1410,1991,-5,-5,-5
2605,-4,-4,330,335,595,595,421,700,565,900,697,1105,1682,1400,1377,1826,1800,1150,1525,2193,2691,2884
2606,-4,-4,-4,435,825,875,925,908,988,988,872,1162,1200,1190,1285,1240,2200,1977,2147,2403,2513,3445
2607,-4,-4,335,-4,707,891,936,913,1031,951,1000,1093,1153,935,1584,1265,1313,1472,1490,1442,17,15
2608,-4,-4,-4,-4,375,475,540,-5,-5,-5,697,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2609,-4,-5,-5,-5,-4,800,1414,1464,1514,1544,1574,-4,1744,-4,-4,-4,-4,-4,-4,-4,2480,-4
2610,-4,-4,-4,410,590,625,645,645,800,755,214,450,525,525,380,550,455,550,700,800,1017,1055
2611,-4,315,400,-4,500,625,600,700,944,1057,1048,897,-4,1001,1057,1033,1923,-4,-5,-5,-5,-5
2612,-4,-4,-4,-4,-4,424,335,400,125,-4,-4,-4,-4,-4,-4,938,1250,1450,1275,1550,1000,2000
2613,400,400,400,335,600,224,650,650,200,840,1000,1200,1350,1405,1450,1440,1800,1956,2030,2068,2285,2200
2614,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1749,1730,2019,2403
2615,-4,-4,-4,-4,338,350,385,450,-4,-4,-4,-4,-4,-4,-4,300,580,615,700,600,825,975
2616,290,-4,-4,-4,-4,-5,-4,-4,-4,1153,1298,1301,2548,1153,1634,1847,2203,2115,2818,2876,3365,3600
2617,-4,-4,-4,340,400,160,335,500,335,357,400,380,625,425,-5,-5,-5,-5,-5,-5,-5,-5
2618,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,854,913,2203,1346,1602,2045,1602,2097
2619,-4,600,-4,-4,962,1155,1153,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2620,560,596,1000,1050,850,1000,1050,1050,1905,639,872,944,1044,1155,1186,1186,1307,1432,1900,-5,2115,2080
2621,300,-4,-4,-4,900,400,1050,817,700,700,700,662,803,732,-4,600,1250,1420,1798,1923,1951,2067
2622,-4,-4,-4,-4,335,-4,-4,-4,-4,472,607,611,708,565,623,734,817,854,1447,1417,1538,1586
2623,275,-4,-4,-4,360,400,450,335,350,367,390,400,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5
2624,400,-4,-4,-4,-4,-4,500,-4,930,1153,1001,1153,1153,1153,1153,1162,1153,1201,1744,1682,-4,-4
2625,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4
2626,-4,-4,-4,212,330,525,-4,437,2750,450,525,-4,800,657,1105,1235,1283,1634,1538,1871,2500,1932
2627,-4,-4,-4,-4,300,300,275,311,-5,406,450,523,631,671,700,711,750,827,887,934,1050,1100
2628,-4,137,546,450,-4,500,-4,-4,-4,-4,-4,-4,-4,1070,1081,1105,750,1600,1600,-4,850,850
2629,-4,290,387,335,360,367,395,415,628,515,550,562,611,651,625,701,750,1090,1259,1490,1682,1860
2630,-4,-4,-4,-4,-4,335,251,335,1370,1514,1538,1754,1869,2139,2283,2307,2692,2900,3846,-4,2243,4487
2631,-4,-4,-4,530,550,625,746,1150,-4,550,807,800,850,650,1000,635,725,777,1285,884,1187,1428
2632,-4,-4,-4,-4,-4,-4,650,1182,2333,1250,1700,650,945,975,600,560,900,1300,1000,1121,1500,1246
2633,-4,318,385,850,530,540,500,549,1009,1490,1490,1875,1162,2403,-4,-4,2884,3075,2730,2924,3192,3538
2634,290,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,750,585,-5,1436
2635,-4,-4,-4,1068,1200,659,700,-4,-4,-4,-4,-4,-4,640,653,-4,1511,1595,1047,1162,1250,1279
2636,-4,-4,-4,-4,-4,455,427,420,632,607,633,692,663,726,676,708,994,1272,1378,1634,1730,1943
2637,-4,125,335,-4,453,581,653,769,837,858,998,961,1118,1280,1373,1282,1566,1923,1739,1238,1730,1741
2638,-4,-4,330,335,335,377,550,500,465,576,600,614,1028,1100,1105,1201,1442,2227,2375,-5,-5,-4
2639,-4,-4,750,387,421,550,312,375,750,937,357,1000,-4,-4,800,825,875,1250,1200,-4,-4,1428
2640,225,-4,-4,-4,-4,-4,-4,-4,335,335,343,385,312,-4,400,475,425,610,215,1000,560,570
2641,265,-4,-4,335,350,400,390,400,387,468,750,355,416,-5,-5,1000,-5,-5,-5,928,-4,-4
2642,-4,-4,-4,400,480,570,610,562,675,700,750,815,988,1073,1076,1307,6923,1230,1846,2297,2756,6416
2643,-4,-4,362,600,450,375,400,375,488,550,510,872,500,700,1500,1220,833,-5,-5,-5,-5,-5
2644,-4,-4,-4,-4,250,367,233,212,335,335,500,728,-4,728,769,870,-5,-5,-5,-5,-5,-5
2645,-4,-4,312,335,-4,390,66,2000,410,500,491,575,500,900,1046,800,645,692,1100,1050,1453,1400
2646,-4,505,552,872,960,930,650,604,697,865,865,1250,1104,1190,1201,1298,1346,1797,2115,3846,3708,4360
2647,-4,-4,-4,-4,-4,-4,-4,-4,576,-4,673,543,230,778,705,985,961,1057,1346,1442,1511,1424
2648,-4,-4,-4,-4,335,335,345,355,468,365,-5,794,730,807,721,944,1010,1142,-5,-5,-5,-5
2649,-4,-4,-4,350,-4,525,335,335,400,425,1125,-4,726,735,997,350,450,625,1024,1538,19,20
2650,-4,-4,-4,525,575,575,575,575,575,-4,-4,378,425,516,425,425,450,575,357,902,930,700
2651,-4,-4,-4,-4,-4,240,340,254,580,622,647,648,661,718,697,709,733,730,697,-4,-4,233
2652,-4,-4,-4,-4,-4,355,-4,-4,500,496,772,774,425,531,375,970,1178,1236,1294,1224,1254,1675
2653,440,-4,-5,500,375,375,305,474,370,370,400,400,440,484,440,440,450,550,900,581,600,1162
2654,-4,-4,335,342,428,345,350,475,625,825,685,740,286,745,875,855,910,1033,1682,516,798,875
2655,-4,-4,-4,-4,239,-4,166,-4,-4,-4,-4,-4,-4,510,438,520,510,700,700,-4,875,950
2656,-4,-4,-4,-4,250,400,-4,335,300,335,-4,681,855,700,772,805,879,1250,-5,2500,2566,2165
2657,-4,-4,-4,-4,194,400,-4,485,509,721,-4,937,961,1050,-5,-5,-5,-5,-5,-5,-5,-5
2658,-4,-4,232,335,310,-4,335,335,-4,-4,-4,-4,425,-4,192,450,-5,-5,900,800,-4,150
2659,-4,-4,-4,335,-4,390,-4,400,340,390,-4,-4,-4,425,-4,425,404,515,812,122,665,620
2660,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,500,-4,404,-4,150,28,-4,-4
2661,265,-4,257,400,417,391,850,-4,400,337,400,281,435,3333,1166,-4,525,525,600,650,700,520
2662,-4,250,-4,350,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,425,333,525,600,600,-4,-4
2663,100,-4,-4,-4,-4,160,-4,-4,335,236,200,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2664,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,-4
2665,225,266,-5,-4,-4,-4,335,400,400,450,662,-4,-4,1100,512,300,425,550,1000,611,1100,1195
2666,-4,266,-4,328,331,335,380,390,437,400,435,465,465,700,581,465,550,528,620,648,1008,1028
2667,265,300,335,-4,335,400,400,400,335,335,350,380,-4,425,425,380,216,612,825,685,575,-4
2668,385,358,358,457,434,518,-5,523,681,697,755,820,841,840,865,889,1005,1135,1312,1400,-5,-5
2669,-4,-4,267,-4,119,-4,350,350,335,75,100,-4,-4,-4,-4,-4,600,515,540,515,-4,740
2670,289,320,-4,-4,742,370,437,521,424,489,508,562,664,610,426,755,815,721,779,739,-5,1123
2671,-4,631,-4,779,400,-4,833,542,535,465,400,1175,1250,-4,740,555,800,725,1025,1075,500,-5
2672,222,-4,425,192,335,350,412,375,450,559,550,650,630,625,425,736,562,412,446,480,527,573
2673,290,400,-4,-4,-4,335,450,470,-4,375,375,345,425,475,-5,-5,-5,-5,850,850,900,-5
2674,270,666,312,342,335,335,335,335,-5,325,435,435,475,450,450,-5,-5,515,778,735,745,845
2675,-4,310,-4,279,335,450,396,335,341,-4,350,380,425,425,-4,450,750,515,515,600,640,620
2676,625,700,375,-5,700,875,790,-5,1212,1485,1300,1300,1540,1157,1412,1490,-5,1607,1550,1700,775,1200
2677,-4,-4,-4,850,765,335,380,-4,-4,-4,-4,-4,425,425,465,268,500,723,-5,-5,900,920
2678,160,210,250,335,348,-4,581,485,479,505,523,548,1200,1200,464,471,541,597,661,706,807,865
2679,-4,-4,-4,-4,-4,400,400,-4,-4,-4,-4,-4,-4,-4,-4,-4,440,850,535,600,800,700
2680,-4,250,-4,425,358,431,802,1027,961,1048,846,941,821,1022,1069,1153,1324,1634,1518,6891,20,19
2681,174,625,480,555,-4,335,-4,-4,-5,350,90,380,444,-4,-4,562,363,632,515,484,441,755
2682,6225,375,-4,350,375,400,450,450,450,562,832,978,1160,1107,1032,500,600,976,1250,1000,1375,1000
