"R0000100","R0214700","R0214800","R0217501","R0405601","R0618601","R0898401","R1144901","R1520101","R1890801","R2257901","R2445301","R2871000","R3074700","R3401400","R3656800","R4007300","R4418400","R5081400","R5166700","R6479300","R7007000","R7704300","R8496700","T0988500","T2210500","T3108400","T4112900"
6311,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6312,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,3,3,1,3,3,3
6313,2,2,0,0,0,0,0,1,1,1,1,-5,1,1,1,1,1,1,1,1,-5,1,1,1,1,1,1
6314,2,1,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
6315,2,2,0,0,0,0,0,0,0,0,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3
6316,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3
6317,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6318,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-5,0,0,0,0,0
6319,2,1,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6320,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5
6321,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1
6322,2,2,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,0,0,0,0,1,1,1,1,1,1,-5
6323,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,-5,3,3,3,1,1,1,1,1
6324,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6325,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5
6326,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6327,2,2,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-5,2,2,3
6328,3,1,0,0,0,0,0,0,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6329,3,1,0,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6330,3,1,0,0,0,0,0,0,0,-5,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6331,3,2,0,0,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6332,3,2,1,1,2,2,3,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6333,2,2,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,-5,-5,-5,3,3,3,3,3,3
6334,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6335,2,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
6336,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
6337,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6338,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
6339,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6340,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6341,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6342,2,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-5,1,1,1,1,1,1,1,1
6343,2,2,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,1,1,1
6344,2,2,0,0,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,6,6
6345,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
6346,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-5,1,1,1,2,2,2,2,2
6347,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6348,3,2,0,0,1,1,1,1,1,2,1,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6349,3,2,0,0,0,0,0,0,0,0,1,1,1,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6350,3,2,0,0,0,1,1,1,1,2,3,3,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6351,3,2,0,0,0,0,1,1,3,3,3,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6352,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0
6353,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
6354,3,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6355,3,1,0,0,0,0,0,0,0,1,3,1,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6356,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2
6357,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6358,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,1,1,1,1,1,1
6359,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6360,2,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5
6361,2,1,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1
6362,2,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6363,2,2,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
6364,2,2,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3
6365,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6366,2,2,0,0,0,1,1,1,1,1,1,1,1,1,2,1,3,3,3,3,-5,3,3,-5,1,1,-5
6367,2,2,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,3,3,3,-5,3,-5,-5,-5,-5
6368,2,2,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,2,2,3
6369,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,1,-5,-5
6370,2,2,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,-5
6371,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6372,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6373,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0
6374,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2
6375,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-5,2,2,1,1,1
6376,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6377,2,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,1,1,1,1,1,1,1
6378,2,1,0,0,0,0,-5,0,1,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6379,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6380,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,-5
6381,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6382,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6383,2,2,0,0,0,0,0,1,1,1,1,2,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2
6384,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
6385,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6386,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6387,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6388,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6389,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0
6390,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,3
6391,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6392,2,1,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,-5,-5,-5,-5,-5,-5
6393,2,2,0,0,0,0,0,0,0,0,-5,-5,1,2,2,1,1,1,1,2,3,3,3,3,3,3,3
6394,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6395,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,1,1,3,3,3
6396,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6397,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
6398,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6399,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6
6400,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6401,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-5,-5,-5,-5,1,1,1
6402,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-5,-5,-5,-5,-5,-5
6403,2,1,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6404,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,3,3,3,3
6405,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6406,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2
6407,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3
6408,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6409,2,2,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6410,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6411,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6412,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
6413,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6414,2,2,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3
6415,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6416,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6417,2,2,0,0,0,0,0,0,0,0,1,1,1,-5,1,1,1,1,1,1,1,1,1,1,1,1,1
6418,2,2,0,0,0,0,0,0,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6419,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6420,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6421,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6422,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
6423,2,1,0,0,0,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6424,3,2,0,0,0,0,0,0,0,-5,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6425,3,1,0,0,0,0,0,0,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6426,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,6,1
6427,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6428,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2
6429,2,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6430,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3
6431,2,1,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0
6432,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0
6433,2,1,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,-5,1,1,-5
6434,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6435,2,1,0,0,0,0,1,1,1,1,1,1,1,1,1,-5,1,1,1,-5,1,2,2,2,1,1,1
6436,3,1,0,2,3,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6437,3,2,0,0,0,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6438,3,2,0,0,0,0,0,0,1,-5,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6439,3,1,0,0,0,0,0,0,0,-5,0,0,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6440,2,1,0,0,0,0,0,0,-5,0,0,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1
6441,2,1,0,0,0,0,0,0,-5,-5,0,0,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5
6442,2,2,0,0,0,0,0,-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6443,2,1,1,1,1,1,1,1,1,-5,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5
6444,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,1,1,1
6445,2,2,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6
6446,3,1,0,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6447,3,1,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6448,2,2,2,2,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,6
6449,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6450,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2
6451,2,1,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6452,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6453,2,1,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,-5,0,0,0,-5,-5,-5,-5,-5,0,-5
6454,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-5,1,2,2,3,1,2
6455,2,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6456,2,1,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,-5,0,0,0,0,0,0,0
6457,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6458,2,1,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,0,0,0,0,0,0,0,-5,0,0,0,0
6459,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6460,2,1,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6461,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6462,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,1,1,1,1
6463,3,1,0,0,0,0,1,1,1,1,1,1,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6464,3,2,1,1,1,3,3,3,3,3,3,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6465,2,1,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0,0,0,0,0,0,0,0
6466,2,1,0,-5,0,0,0,0,0,0,0,0,0,0,-5,1,1,1,1,1,3,3,-5,-5,3,-5,1
6467,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2
6468,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,-5
6469,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
6470,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-5,1,1,1,1,1
6471,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6472,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6473,2,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6474,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2
6475,2,2,0,0,0,0,-5,0,0,-5,0,0,1,1,1,-5,1,1,1,1,1,1,1,-5,-5,-5,-5
6476,2,1,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,1,1,1,1
6477,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
6478,2,1,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,1,1,1,1,1,1,1
6479,2,1,0,0,0,0,0,0,0,-5,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6480,2,1,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
6481,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-5,1,1,1,3,3,-5,-5,-5,3
6482,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-5,-5
6483,2,2,0,0,0,0,0,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6484,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6485,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6486,2,2,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,-5,1,-5,2,2,-5,-5
6487,3,2,2,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6488,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6489,2,2,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3
6490,2,1,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-5,0,0
6491,2,1,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6492,2,1,0,0,0,0,0,0,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6493,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6494,2,1,1,1,2,2,3,3,2,2,2,2,2,2,-5,2,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5
6495,2,1,0,0,0,1,1,1,1,6,6,6,6,-5,6,6,6,6,-5,-5,-5,-5,-5,6,6,6,6
6496,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5
6497,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,2
6498,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0
6499,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,-5,3,3,1,1,1,1,1
6500,2,1,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,-5,0,0,0,0,0,0,0
6501,2,1,0,0,0,0,0,0,0,0,0,-5,1,1,1,1,1,1,1,-5,-5,1,-5,-5,1,1,1
6502,3,2,0,0,0,0,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6503,2,2,0,0,0,0,-5,0,0,0,0,0,0,0,0,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5
6504,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5
6505,2,2,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3
6506,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,-5
6507,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6508,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6509,3,1,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6510,2,2,0,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1
6511,2,1,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
6512,3,2,1,1,1,2,1,2,3,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6513,2,2,0,0,0,0,0,1,1,1,1,1,-5,-5,1,1,1,1,1,-5,-5,-5,-5,1,1,1,1
6514,2,1,0,0,0,0,0,0,0,0,-5,-5,0,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6515,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,3
6516,2,2,0,0,1,1,1,1,1,1,2,2,2,3,3,3,3,3,1,1,2,1,1,1,1,1,1
6517,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6518,2,1,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6519,3,2,0,0,0,0,0,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6520,3,2,0,0,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6521,3,2,0,1,1,3,3,3,3,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6522,3,2,1,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6523,3,2,1,1,2,2,2,2,2,2,2,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6524,3,2,0,0,0,0,0,0,0,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6525,3,2,1,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6526,3,2,0,0,0,0,0,1,1,3,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6527,3,1,0,0,0,0,0,0,0,0,1,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6528,3,1,0,0,0,0,0,1,1,1,2,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6529,3,2,0,0,0,0,0,0,0,0,0,0,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6530,3,1,0,0,0,0,0,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6531,3,1,0,0,0,0,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6532,3,2,0,0,1,1,2,2,2,2,2,2,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6533,3,2,0,0,0,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6534,3,2,0,0,0,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6535,3,1,2,2,2,2,2,2,2,2,-5,-4,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
