"R0000100","R0046300","R0214700","R0214800","R0263300","R0263400","R0446300","R0702000","R0828000","R0944900","R0945300","R1255300","R1255700","R1650100","R1650500","R1922700","R1923100","R2317500","R2317900","R2525300","R2525700","R2924300","R2924700","R3127000","R3127400","R3522700","R3523100","R3727700","R3728100","R4182000","R4193700","R4587901","R4587903","R5270500","R5270900","R6472100","R6473700","R6591300","R6592900","R7209100","R7209600","R7897500","R7898000","T0137900","T0138400","T1297500","T1298000","T2326000","T2326500","T3308200","T3308700"
11100,-4,2,2,-4,-4,-4,67,315,707,315,849,315,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11101,-4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11102,-4,2,1,-4,-4,-4,917,809,917,804,429,809,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11103,-4,2,2,-4,-4,-4,-4,-4,-5,-5,479,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11104,-4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11105,-4,3,1,-4,-4,-4,-4,-4,769,889,287,875,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11106,-4,3,1,-4,-4,-4,-4,-4,757,547,308,689,308,888,317,749,318,777,317,779,308,777,317,749,308,633,318,749,308,756,888,358,358,888,369,754,369,754,229,880,2290,8800,770,6230,770,6460,770,6460,770,6460
11107,-4,2,2,-4,-4,-4,-4,-4,-4,-4,769,405,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11108,-4,3,2,-4,-4,669,669,436,809,435,809,434,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11109,-4,1,1,-4,-4,-4,809,459,808,547,809,547,808,547,808,547,808,547,808,547,808,547,808,547,808,547,69,869,69,599,869,69,69,869,69,804,69,804,769,734,7690,7340,3870,8530,3360,9640,3360,5800,3360,5810
11110,-4,3,1,-4,-4,-4,648,885,-4,-4,647,885,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11111,-4,3,1,-4,-4,-4,639,516,639,505,417,516,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
